COMPANY STAGE,FOUNDED YEAR,is_non_eu,EMPLOYEE COUNT,REVENUE (USD MN),INVESTED FUNDS (ESTIMATED**),OWNERSHIP TYPE,INDUSTRY_CATEGORY
Early Stage,2021.0,1,,,"9Unicorns Fund, Z21 Ventures Fund I",Private,Industrial
Angel & Seed,2021.0,1,,,Z21 Ventures Fund I,Private,Technology
Angel & Seed,2022.0,1,,,Equirus InnovateX,Private,Technology
Early Stage,2023.0,1,,,,Private,Technology
Early Stage,2017.0,1,,,,Private,Technology
Angel & Seed,2020.0,1,,,,Private,Transportation
Early Stage,2020.0,1,,,,Private,Technology
Angel & Seed,2023.0,1,7.0,,"NTT Venture Capital, Blume Ventures Fund IV, Nexus Ventures VII, Matrix Partners India DeVC I",Private,Technology
Angel & Seed,2023.0,1,,,,Private,Industrial
Mature - Growth Capital,2014.0,1,213.0,,,Private,Media and Entertainment
Add-on,2018.0,1,4.0,,,Private,Technology
Early Stage,2023.0,1,12.0,,"Kalaari Capital Partners IV, Foundamental Fund II",Private,Technology
Angel & Seed,2023.0,1,,,Nexus Ventures VII,Private,Technology
Angel & Seed,2022.0,1,14.0,,"CRV XIX, Kael Opportunities Fund",Private,Technology
Early Stage,2019.0,1,7.0,,,Private,Technology
Angel & Seed,2021.0,1,22.0,,,Private,Technology
Angel & Seed,2020.0,1,10.0,,,Private,Technology
,2021.0,1,,,,Private,Environmental
Early Stage,2022.0,1,4.0,,,Private,Technology
Early Stage,2023.0,1,15.0,,,Private,Technology
Angel & Seed,2022.0,1,11.0,,Lightspeed India Partners IV,Private,Technology
Early Stage,2023.0,1,,,,Private,Healthcare
Series B,2017.0,1,234.0,,,Private,Financial Services
Early Stage,2021.0,1,7.0,,,Private,Technology
Angel & Seed,2019.0,1,37.0,,,Private,Technology
Early Stage,2021.0,1,21.0,,First Cheque Fund II,Private,Technology
Early Stage,2017.0,1,25.0,,Finger Lakes Forward Venture Capital Fund,Private,Healthcare
Angel & Seed,2020.0,1,19.0,,,Private,Healthcare
Early Stage,2018.0,1,51.0,,Pavestone Technology Fund,Private,Environmental
Angel & Seed,2021.0,1,44.0,,"ACV Fund V, Antler India Innovation Fund I",Private,Real Estate
Early Stage,2019.0,1,8.0,,Speciale Invest Growth Fund I,Private,Healthcare
Early Stage,2022.0,1,11.0,,Antler India Innovation Fund I,Private,Technology
,2022.0,1,80.0,,,Private,Technology
Angel & Seed,2016.0,1,30.0,0.19,,Private,Technology
Early Stage,2022.0,1,17.0,,"Stripes VI, YC ESP22, Seedstars International Ventures II",Private,Technology
Early Stage,2020.0,1,57.0,,Antler India Innovation Fund I,Private,Technology
Early Stage,2019.0,1,52.0,,,Private,Technology
Early Stage,2020.0,1,8.0,,Seafund II,Private,Technology
Early Stage,2022.0,1,29.0,,Indus Valley Capital II,Private,Transportation
Angel & Seed,2023.0,1,8.0,,"India Quotient Fund IV, Elevation Capital VIII",Private,Industrial
Add-on,2022.0,1,5.0,,,Private,Technology
Early Stage,2017.0,1,,0.11,,Private,Technology
,2022.0,1,14.0,,,Private,Technology
Angel & Seed,2017.0,1,5.0,0.02,,Private,Technology
Angel & Seed,2018.0,1,76.0,,"Murex Purple Fund III, DKI Growing Star VII",Private,Technology
,2018.0,1,19.0,,,Private,Technology
Angel & Seed,2021.0,1,22.0,0.02,Kalaari Capital Partners IV,Private,Media and Entertainment
Angel & Seed,2022.0,1,46.0,,"Lightspeed India Partners IV, Lumikai Fund II",Private,Technology
Angel & Seed,2019.0,1,38.0,0.01,LV Angel Fund,Private,Industrial
Early Stage,2015.0,1,63.0,,,Private,Technology
,2014.0,1,27.0,,,Private,Healthcare
Series A,2023.0,1,,,Matrix Partners India DeVC I,Private,Technology
Angel & Seed,2021.0,1,32.0,,8VC Fund V,Private,Technology
Angel & Seed,2022.0,1,7.0,,"SV Angel VIII, IDEO CoLab Crypto Fund II, Untitled Ventures Fund II, SignalFire XIR Fund",Private,Technology
Angel & Seed,2022.0,1,31.0,,"WaterBridge Ventures II Trust, GrowX Ventures Fund II, Gemba Capital",Private,Technology
Angel & Seed,2020.0,1,56.0,0.09,"100X.VC, Varanium NexGen Fund, Yatra Angel Network Fintech Fund",Private,Technology
Angel & Seed,2022.0,1,10.0,,,Private,Technology
Early Stage,2023.0,1,1.0,,,Private,Healthcare
Angel & Seed,2022.0,1,9.0,,,Private,Technology
Angel & Seed,2021.0,1,15.0,0.0,"Entrepreneur First (Global), YC ESP22",Private,Technology
Series A,2019.0,1,169.0,,IvyCap Ventures Trust Fund III,Private,Technology
Series A,2016.0,1,168.0,1.03,e& capital,Private,Technology
Angel & Seed,2022.0,1,,,Silverneedle Ventures early-stage Fund,Private,Media and Entertainment
Add-on,2015.0,1,471.0,,,Private,Business Services
Angel & Seed,2023.0,1,,,"YC ESP22, Goodwater Capital V",Private,Business Services
Angel & Seed,2022.0,1,19.0,,"9Unicorns Fund, Propell Fund, Chakra Growth Fund I",Private,Technology
Early Stage,2022.0,1,31.0,,,Private,Technology
Add-on,2018.0,1,61.0,,,Private,Technology
Early Stage,2018.0,1,10.0,0.09,,Private,Healthcare
,2015.0,1,,,,Private,Technology
Series A,2014.0,1,513.0,3.78,"India Alternatives Private Equity Fund II, Cactus Partners Fund I",Private,Technology
Angel & Seed,2020.0,1,23.0,,"9Unicorns Fund, Antler India Innovation Fund I",Private,Technology
Series A,2023.0,1,4.0,,,Private,Technology
Angel & Seed,2022.0,1,20.0,,"100X.VC, Pentathlon Ventures II, Unicorn India Ventures Fund III",Private,Technology
Angel & Seed,2020.0,1,1.0,0.08,,Private,Business Services
Angel & Seed,2019.0,1,37.0,0.0,"Entrepreneur First (Global), Info Edge Venture Fund",Private,Healthcare
Angel & Seed,2019.0,1,23.0,0.0,"Forge Ventures, Ideaspring Capital Fund II, Csquare Venture Partner Fund I",Private,Industrial
Angel & Seed,2021.0,1,28.0,0.0,"LV Angel Fund, Seabright IV",Private,Business Services
Early Stage,2021.0,1,21.0,0.0,,Private,Technology
Angel & Seed,2020.0,1,12.0,0.0,,Private,Financial Services
Angel & Seed,2022.0,1,4.0,,SucSeed Indovation Fund,Private,Media and Entertainment
Angel & Seed,2022.0,1,12.0,,,Private,Technology
Add-on,2016.0,1,307.0,,,Private,Technology
Early Stage,2019.0,1,67.0,17.26,"Volrado Venture Partners Fund II, Physis Capital",Private,Transportation
Add-on,2021.0,1,8.0,,,Private,Technology
Angel & Seed,2022.0,1,11.0,,India Quotient Fund IV,Private,Technology
Early Stage,2020.0,1,17.0,,,Private,Business Services
